source_type,source_id,parent_id,source_guid,Name,SEName,Description,Summary,SETitle,SEDescription,SEKeywords,DisplayOrder,Published
category,13,1,21A9EE17-2575-4E4B-AC8E-F4B7F289FE34,Rock n' Bop Bobblehead Trophies,rock-n-bop-bobblehead-trophies,,,Rock n' Bop Bobblehead Trophies,,Rock n' Bop Bobblehead Trophies,1,1
category,14,1,29E9E18E-17BF-49BB-A1E2-D8F658E64645,Bobblehead Trophies No Face,bobblehead-trophies-no-face,,,Bobblehead Trophies No Face,,Bobblehead Trophies No Face,1,1
category,15,1,707A8DEB-0373-497F-BB91-B5C9D9D6BCAC,Resin Sculpture Trophies,resin-sculpture-trophies,,,Resin Sculpture Trophies,Resin Sculpture Trophies,Resin Sculpture Trophies,1,1
category,19,1,48613C1E-34AE-4C53-B76F-A236F2F2FC33,Diamondback Trophies,diamondback-trophies,,,Diamondback Trophies,Diamondback Trophies are innovative trophies with a clear acrylic piece across a variety of sports and activities.  Free personalization included.,Diamondback Trophies,1,0
category,21,1,CC89CDF2-480E-4E7A-9F66-5C096377E819,Crystal Award Trophies,crystal-award-trophies,,,Crystal Trophies | Glass Awards | Crystal Awards,Crystal and Glass Awards feature Crystal Trophies across various sports as well as Corporate Crystal Awards.  Free personalization and rush service available.,"Crystal Trophies, Glass Awards, Crystal Awards",1,1
category,23,1,C3B69E0E-8CA3-45CA-9A7D-E26BCF5E6BEA,Mascot Bobblehead Trophies,mascot-bobblehead-trophies,,,Mascot Bobblehead Trophies,,Mascot Bobblehead Trophies,1,1
category,26,1,F7CA807D-2D77-4F8B-BF08-5D134346B8C4,Perpetual Trophies,perpetual-trophies,,,Perpetual Trophies | Perpetual Awards,"Perpetual Trophies, Perpetual Awards for Fantasy Football Winners & Losers, and more.  Free personalization.  Rush service.  Easy to order.","Perpetual Trophies, Perpetual Awards",1,1
category,28,1,5C2625CA-883E-435B-B132-02FC9E9D6FF6,Spin Trophies,spin-trophies,,,Spin Trophies,Unique Trophies that spin around.  Free shipping & personalization.  Rush shipping available.,"Spin Trophies, Spinning Trophies, Spinner Trophies",1,0
category,29,1,D179F135-33A7-43C9-A497-143D14051FAD,Mascot Resin Trophies,mascot-resin-trophies,,,Mascot Resin Trophies ,"Mascot Resin Trophies are available for many school mascots including Bulldog, Bear, Lion, and more.  These mascot trophies show great team spirit.  Free personalization.","Mascot Resin Trophies, Mascot Trophies",1,1
category,31,1,391E58F3-0215-42C5-8061-D3DF1EAF974C,Full Size Resin Ball Trophies,full-size-resin-ball-trophies,,,Full Size Ball Trophies | Large Sports Trophies,Regulation Size Sports Ball Trophies make the ultimate award to recognize an outstanding performance.  Free personalization included.,"Full Size Ball Trophies, Large Sports Trophies",1,1
category,32,1,E05F22C4-C8AE-4474-89C6-356B07716813,Colortek Trophies,colortek-trophies,,,Colortek Trophies ,,Colortek Trophies,1,1
category,34,1,5B9993B7-5354-4531-9E80-E6D9C7BA4552,Round Resin Trophies,round-resin-trophies,,,Round Resin Trophies ,,"Round Resin Trophies, Resin Plate Trophies",1,1
category,36,1,A09F9D4D-BE7B-4CBD-BE2D-237C219EA816,Special Edition Trophies,special-edition-trophies,,,Special Edition Trophies,,Special Edition Trophies,1,0
