source_type,source_id,Name,original_SEName,final_handle,collision
category,402,Stand Up Medallions,stand-up-medallions,stand-up-medallions,
category,404,Custom Champ Chain Medallions,custom-champ-chain-medallions,custom-champ-chain-medallions,
category,405,Leatherette,leatherette,leatherette,
category,406,Leatherette,leatherette,leatherette-2,Y
category,407,Bobblehead Trophies No Face-2,bobblehead-trophies-no-face-2,bobblehead-trophies-no-face-2,
category,408,State Shaped Awards,state-shaped-awards,state-shaped-awards,
category,409,Service Awards,service-awards,service-awards,
category,410,Drinkware,drinkware,drinkware,
category,411,Jade Glass Awards,jade-glass-awards,jade-glass-awards,
category,412,Eco Friendly,eco-friendly,eco-friendly,
category,413,"Marble, Stone, and Slate",marble-stone-and-slate,marble-stone-and-slate,
category,414,Starphire Glass Awards,starphire-glass-awards,starphire-glass-awards,
category,415,Magnaflex Donor Walls,magnaflex-donor-walls,magnaflex-donor-walls,
category,416,Stainless Steel,stainless-steel,stainless-steel,
category,417,Alchemy,alchemy,alchemy,
category,418,"Cast Aluminum, Resin, Bronze",cast-aluminum-resin-bronze,cast-aluminum-resin-bronze,
category,419,Writing Instruments,writing-instruments,writing-instruments,
category,420,Bags,bags,bags,
category,421,Desk Accessories,desk-accessories,desk-accessories,
category,422,AwardLab,awardlab,awardlab,
category,424,Challenge Coins,challenge-coins,challenge-coins,
category,425,Acrylic Protective Shield Guards,acrylic-protective-shield-guards,acrylic-protective-shield-guards,
section,1,"1st, 2nd & 3rd",1st-2nd-3rd,1st-2nd-3rd,
section,2,Academic/Scholastic,academicscholastic,academicscholastic,
section,3,Achievement/Victory,achievementvictory,achievementvictory,
section,6,Baseball,baseball,baseball,
section,7,Basketball,basketball,basketball,
section,9,Bowling,bowling,bowling,
section,10,Cheerleading,cheerleading,cheerleading,
section,11,Coach Gifts,coach-gifts,coach-gifts,
section,12,Chili/BBQ/Cooking  ,chilibbqcooking,chilibbqcooking,
section,13,Corporate,corporate,corporate,
section,15,Dance,dance,dance,
section,16,Fantasy Football,fantasy-football,fantasy-football,
section,17,Football,football,football,
section,18,Golf,golf,golf,
section,19,Gymnastics,gymnastics,gymnastics,
section,20,Hockey,hockey,hockey,
section,21,Humor/Funny,humorfunny,humorfunny,
section,23,Lacrosse,lacrosse,lacrosse,
section,24,Martial Arts,martial-arts,martial-arts,
section,28,Music,music,music,
section,31,Pinewood Derby,pinewood-derby,pinewood-derby,
section,33,Poker,poker,poker,
section,34,Pool/Billiards,poolbilliards,poolbilliards,
section,35,Racing/Go-Kart/Auto,racinggo-kartauto,racinggo-kartauto,
section,38,Soccer,soccer,soccer,
section,39,Softball,softball,softball,
section,40,Swimming,swimming,swimming,
section,41,Tennis,tennis,tennis,
section,42,Track/Running,track,track,
section,43,Volleyball,volleyball,volleyball,
section,44,Wrestling,wrestling,wrestling,
section,45,Archery,archery,archery,
section,47,Boxing,boxing,boxing,
section,48,Chess,chess,chess,
section,49,Cricket ,cricket,cricket,
section,50,Darts,darts,darts,
section,51,Horse,horse,horse,
section,52,Fishing,fishing,fishing,
section,54,Military/Patriotic,militarypatriotic,militarypatriotic,
section,55,Motorcycle/Dirt Bike,motorcycledirt-bike,motorcycledirt-bike,
section,56,First Responder | Fire  | Police ,first-responder-fire-police,first-responder-fire-police,
section,57,Religion/Spiritual,religionspiritual,religionspiritual,
section,58,Skiing,skiing,skiing,
section,59,Squash,squash,squash,
section,60,Surfing,surfing,surfing,
section,61,Weightlifting,weightlifting,weightlifting,
section,62,Bodybuilding,bodybuilding,bodybuilding,
section,63,Caregiver | Doctor | Medical,caregiver-doctor-medical,caregiver-doctor-medical,
section,64,Universal,universal,universal,
section,65,Cup Trophies,cup-trophies,cup-trophies-2,Y
section,66,T-Ball,t-ball,t-ball,
section,67,Water Polo,water-polo,water-polo,
section,68,T-Shirts,t-shirts,t-shirts-2,Y
section,69,Cornhole,cornhole,cornhole,
section,70,Halloween,halloween,halloween,
section,71,Christmas,christmas,christmas,
section,72,Hanukkah,hanukkah,hanukkah,
section,73,Thanksgiving,thanksgiving,thanksgiving,
section,74,Teamwork,teamwork,teamwork,
section,75,Drama,drama,drama,
section,76,Animal,animal,animal,
section,77,Flag Football,flag-football,flag-football,
section,78,Beauty Pageant,beauty-pageant,beauty-pageant,
section,79,4-H,4-h,4-h,
section,80,Fantasy Racing,fantasy-racing,fantasy-racing,
section,81,Fantasy Baseball,fantasy-baseball,fantasy-baseball,
section,82,Fantasy Basketball,fantasy-basketball,fantasy-basketball,
section,83,Science/Mathematics,sciencemathematics,sciencemathematics,
section,84,Spelling Bee,spelling-bee,spelling-bee,
section,85,Graduation,graduation,graduation,
section,87,Trap Shooting,trap-shooting,trap-shooting,
section,88,Sailing,sailing,sailing,
section,89,Awareness Ribbons,awareness-ribbons,awareness-ribbons,
section,90,Star,star,star,
section,91,Sales,sales,sales,
section,92,Birthday,birthday,birthday,
section,93,Last Place/Loser,last-placeloser,last-placeloser,
section,94,Sports Trophies,sports-trophies,sports-trophies,
section,95,Activities Trophies,activities-trophies,activities-trophies,
section,96,Blog,blog,blog,
section,97,Custom Award Belts,custom-award-belts,custom-award-belts,
section,98,Custom Awards,custom-awards,custom-awards-2,Y
section,99,Legal  | Lawyer  | Judge,legal-lawyer-judge,legal-lawyer-judge,
section,100,Technology | IT | Computer,technology-it-computer,technology-it-computer,
section,101,eSports,esports,esports,
section,102,Appreciation | Gratitude,appreciation-gratitude,appreciation-gratitude,
